"date","freq"
"2018-05-13",9
"2018-04-11",9
"2018-01-18",9
"2018-01-17",9
"2018-01-11",9
"2018-01-10",9
"2018-01-02",9
"2017-12-24",9
"2017-11-06",9
"2017-08-06",9
"2017-08-05",9
"2017-07-24",9
"2017-06-07",9
"2017-04-28",9
"2017-04-22",9
"2017-04-02",9
"2017-02-19",9
"2017-02-15",9
"2017-01-12",9
"2016-12-29",9
"2016-12-11",9
"2016-06-13",9
"2016-06-04",9
"2016-04-16",9
"2015-03-16",9
"2014-10-12",9
"2014-10-10",9
"2014-08-20",9
"2013-08-30",9
"2018-12-12",8
"2018-12-10",8
"2018-12-07",8
"2018-12-05",8
"2018-11-24",8
"2018-11-22",8
"2018-11-20",8
"2018-10-31",8
"2018-10-23",8
"2018-10-09",8
"2018-10-01",8
"2018-09-30",8
"2018-09-24",8
"2018-09-02",8
"2018-09-01",8
"2018-08-27",8
"2018-08-26",8
"2018-08-03",8
"2018-08-01",8
"2018-07-29",8
"2018-07-02",8
"2018-05-18",8
"2018-05-14",8
"2018-04-29",8
"2018-03-20",8
"2018-03-11",8
"2018-01-25",8
"2018-01-06",8
"2018-01-03",8
"2017-12-26",8
"2017-12-23",8
"2017-12-19",8
"2017-12-02",8
"2017-11-15",8
"2017-11-08",8
"2017-11-04",8
"2017-10-24",8
"2017-10-20",8
"2017-07-16",8
"2017-05-06",8
"2017-04-30",8
"2017-03-31",8
"2017-03-18",8
"2016-06-12",8
"2014-10-27",8
"2014-10-11",8
"2014-08-29",8
"2018-12-28",7
"2018-11-25",7
"2018-11-16",7
"2018-10-06",7
"2018-09-03",7
"2018-06-16",7
"2018-06-13",7
"2018-06-10",7
"2018-06-02",7
"2018-05-31",7
"2018-05-21",7
"2018-05-09",7
"2018-03-18",7
"2018-02-28",7
"2018-02-20",7
"2018-02-14",7
"2018-01-07",7
"2018-01-01",7
"2017-12-29",7
"2017-12-27",7
"2017-12-05",7
"2017-11-24",7
"2017-11-19",7
"2017-10-22",7
"2017-08-08",7
"2017-06-13",7
"2017-06-12",7
"2017-03-29",7
"2017-03-27",7
"2017-03-22",7
"2017-03-20",7
"2017-03-11",7
"2017-03-10",7
"2017-03-03",7
"2017-02-22",7
"2016-06-18",7
"2014-11-17",7
"2014-10-22",7
"2014-08-26",7
"2014-08-17",7
"2014-08-14",7
"2013-07-19",7
"2018-12-14",6
"2018-12-02",6
"2018-11-29",6
"2018-11-09",6
"2018-11-08",6
"2018-11-01",6
"2018-10-27",6
"2018-10-24",6
"2018-09-21",6
"2018-07-22",6
"2018-07-05",6
"2018-05-16",6
"2018-05-04",6
"2018-03-04",6
"2017-11-25",6
"2017-11-10",6
"2017-08-30",6
"2017-07-30",6
"2017-07-10",6
"2017-06-15",6
"2017-04-26",6
"2017-03-06",6
"2016-12-28",6
"2016-05-06",6
"2014-10-25",6
"2014-08-19",6
"2018-12-26",5
"2018-12-22",5
"2018-12-18",5
"2018-12-13",5
"2018-12-09",5
"2018-12-03",5
"2018-11-27",5
"2018-11-21",5
"2018-11-19",5
"2018-10-07",5
"2018-10-03",5
"2018-08-18",5
"2018-07-14",5
"2018-07-07",5
"2018-06-18",5
"2018-01-24",5
"2017-12-31",5
"2017-12-25",5
"2017-12-20",5
"2017-12-15",5
"2017-09-09",5
"2017-07-01",5
"2016-08-15",5
"2016-05-08",5
"2016-05-03",5
"2014-11-21",5
"2014-09-22",5
"2014-09-15",5
"2014-08-23",5
"2014-08-12",5
"2014-02-21",5
"2018-12-23",4
"2018-12-21",4
"2018-12-20",4
"2018-12-19",4
"2018-12-11",4
"2018-12-08",4
"2018-11-28",4
"2018-11-18",4
"2018-09-27",4
"2018-09-23",4
"2018-08-04",4
"2018-06-11",4
"2018-01-28",4
"2018-01-13",4
"2017-10-27",4
"2017-08-07",4
"2017-06-10",4
"2017-06-06",4
"2017-01-08",4
"2016-05-29",4
"2014-11-22",4
"2014-11-18",4
"2014-11-16",4
"2014-11-07",4
"2014-11-01",4
"2014-10-30",4
"2014-10-26",4
"2014-10-17",4
"2014-10-05",4
"2014-10-01",4
"2014-09-24",4
"2014-09-03",4
"2014-08-25",4
"2014-08-18",4
"2014-08-16",4
"2014-02-16",4
"2013-07-16",4
